"","Astrocytes","Neurons","Proliferating","Progs.","RG","Mural","Myeloid","Endothelial","SYMBOL"
"DNALI1","0.11713287","0.18903108","0.25634675","0.15111327","0.25041078","0.19610957","0.05769231","0.04120444","DNALI1"
"MFSD2A","0.015734266","0.020109689","0.035913313","0.019467088","0.011994742","0.004366812","0.060439560","0.003169572","MFSD2A"
"HIVEP3","0.034965035","0.047531993","0.023735810","0.010706899","0.034669734","0.036522430","0.002747253","0.011093502","HIVEP3"
"ZMYND12","0.001748252","0.002559415","0.003921569","0.002190047","0.003943477","0.003969829","0.002747253","0.003169572","ZMYND12"
"BCL10","0.10839161","0.09213894","0.09989680","0.05219613","0.11583963","0.11949186","0.06456044","0.18541997","BCL10"
"DDAH1","0.09790210","0.10639854","0.11929825","0.07385327","0.12306934","0.16435093","0.01923077","0.01901743","DDAH1"
"GBP1","0.0000000000","0.0025594150","0.0026831785","0.0003650079","0.0085441998","0.0142913855","0.0000000000","0.0031695721","GBP1"
"LRRC8C","0.047202797","0.012797075","0.020639835","0.012166930","0.029904699","0.015085351","0.001373626","0.091917591","LRRC8C"
"FAM19A3","0.0017482517","0.0040219378","0.0022703818","0.0004866772","0.0042720999","0.0071456927","0.0000000000","0.0063391442","FAM19A3"
"NGF","0.001748252","0.009140768","0.026418989","0.014721986","0.030397634","0.023421993","0.056318681","0.003169572","NGF"
"THBS3","0.02622378","0.11919561","0.04705882","0.03029566","0.06556030","0.08257245","0.04532967","0.01426307","THBS3"
"LMOD1","0.006993007","0.004387569","0.008049536","0.005961796","0.022839303","0.023421993","0.000000000","0.003169572","LMOD1"
"PPP2R5A","0.12062937","0.04131627","0.10608875","0.06557975","0.12799869","0.13656213","0.14148352","0.11727417","PPP2R5A"
"C1orf198","0.47202797","0.11517367","0.20041280","0.09648376","0.17384160","0.19610957","0.05082418","0.03328051","C1orf198"
"CNST","0.07867133","0.15137112","0.06026832","0.03187736","0.07213276","0.04565304","0.05494505","0.03961965","CNST"
