"","SYMBOL","GW26_GABAergic_neurons","GW23_GABAergic_neurons","GW26_Astrocytes","GW26_Neurons","GW16_Neurons","GW16_GABAergic_neurons","GW10_Neurons"
"15101","RDH11",4.71125655252737,4.33979941181203,7.83409622618322,4.27405521478087,5.42498386553146,4.38998627553475,6.12292881941423
"15102","RDH12",0.0538046144572671,0,0,0.0135131233012742,0.00838376292396927,0,0.0906563212298742
"15103","RDH13",0.630838475818284,0.670663467008436,0.699617789083864,0.44507052130584,0.747739312871856,0.714807489505988,0.58796443167543
"15104","RDH14",0,0,0,0,0,0,0
"15105","RDH16",0,0.0312123808700329,0.0840940484524414,0.0314813136535438,0.0384760894736075,0,0.0269450637605372
"15106","RDH5",0.0719394524371306,0.169563565129098,0.167671222947272,0.0965836749199733,0.121250398490059,0.0868890479066571,0.0625303144707237
"15107","RDH8",0,0,0,0,0.00496306782469056,0,0
"15108",NA,0,0,0,0,0.0565535127861391,0,0.0339987922836225
"15109","RDX",4.61203682714943,5.21229089821483,6.62259555198082,4.3382854696414,4.38609520871058,4.46220579304658,4.03082364888053
"15110","REC8",2.14964242114132,1.95174090459018,3.05572308154693,2.06266905705589,3.48518623394807,2.61585015181541,4.3027973771217
"15111","RECK",0.492219890644096,0.464837789284174,0.569166990925656,0.450267325348115,0.473087177496263,0.488355210606802,0.564942860459082
"15112","RECQL",0.190050450728981,0.197816034724265,0.0964216046796965,0.179849430482021,0.36697418596197,0.251936285835046,0.286479697682435
"15113","RECQL4",0.86209898395099,0.357099087807365,0.360429102639568,0.484485468584533,0.556004238319286,0.513506053914379,0.316450524103513
"15114","RECQL5",0.844940463829611,0.362509064585158,1.35892918795724,0.492226407681575,0.627751352971573,0.657039006305868,0.370797910153049
"15115","REEP1",4.85423473511308,4.60215489776646,3.72439511067667,4.61731656499705,5.43678230327362,4.80969613179514,4.61754876854126
"15116","REEP2",4.69916071283897,3.13661890872177,5.5296155904904,3.70351697233034,3.83323146341215,2.92667185881325,4.55690891020277
"15117","REEP3",1.35479287920211,0.952456818859095,3.78284812124358,0.803553882225562,1.42628895545113,1.36876502584781,1.31614690131982
"15118","REEP4",0.615666905911603,0.259328956064706,1.50410322994625,0.569380533312507,0.402020503280945,0.204829054334015,0.44526136430602
"15119","REEP5",4.22431528967916,3.61842776911421,7.13276693533806,3.94211372876638,3.97373360906213,3.6547233807163,3.0686588269201
